,nearest_station,violence_score,top_crimes
195,O'Hare (Blue Line),0.2222222222222222,N/A
216,Chicago (Red Line),0.0,N/A
218,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",0.0,N/A
225,Merchandise Mart (Brown & Purple lines),0.3333333333333333,N/A
229,Armitage (Brown & Purple lines),0.0,N/A
252,Logan Square (Blue Line),0.3333333333333333,N/A
259,Central (Green Line),0.009259259259259259,N/A
261,Washington (Blue Line),0.3333333333333333,N/A
262,Damen (Pink Line),0.0,N/A
266,Cermak-Chinatown (Red Line),0.1,N/A
280,Diversey (Brown & Purple lines),0.6666666666666666,N/A
281,43rd (Green Line),0.16666666666666666,N/A
290,LaSalle (Blue Line),0.3333333333333333,N/A
328,87th (Red Line),1.0,N/A
331,Dempster (Purple Line),0.0,N/A
378,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",0.0,N/A
390,Chicago (Brown & Purple lines),0.0,N/A
409,Jefferson Park (Blue Line),0.5,N/A
433,Pulaski (Orange Line),0.17647058823529413,N/A
490,Damen (Blue Line),0.0,N/A
492,79th (Red Line),0.25,N/A
525,Jackson (Blue Line),0.4,N/A
605,Halsted (Orange Line),0.0,N/A
672,Thorndale (Red Line),0.3333333333333333,N/A
752,Central Park (Pink Line),0.5,N/A
778,Cumberland (Blue Line),0.3333333333333333,N/A
893,Ashland (Green & Pink lines),0.0,N/A
897,Halsted (Green Line),0.0,N/A
1030,Austin (Green Line),0.0,N/A
1054,Garfield (Green Line),0.0,N/A
1338,Addison (Blue Line),0.0,N/A
1575,Southport (Brown Line),0.0,N/A
